timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2022-09-17T00:00:00.000Z";"2022-09-17T23:59:59.999Z";"2022-09-17T17:11:00.000Z";"2022-09-17T00:00:00.000Z";"2783";103871.8108326623;105921.1803596194;103871.8108326623;105737.5470007964;131080086337.85292;2024770863639.5005;"2022-09-17T23:59:59.999Z"
"2022-09-16T00:00:00.000Z";"2022-09-16T23:59:59.999Z";"2022-09-16T11:59:00.000Z";"2022-09-16T17:31:00.000Z";"2783";103398.7389497078;104277.0908850519;102614.7590815488;103848.4397271826;158075355863.4834;1987230296336.85;"2022-09-16T23:59:59.999Z"
"2022-09-15T00:00:00.000Z";"2022-09-15T23:59:59.999Z";"2022-09-15T07:22:00.000Z";"2022-09-15T15:19:00.000Z";"2783";104535.2335448971;104931.1385142298;102719.7543732959;103384.0693995639;187920133205.44556;1948510956159.9604;"2022-09-15T23:59:59.999Z"
"2022-09-14T00:00:00.000Z";"2022-09-14T23:59:59.999Z";"2022-09-14T02:27:00.000Z";"2022-09-14T18:19:00.000Z";"2783";104774.9990096303;106249.3360778596;102593.1338695968;104531.0600635946;196589848337.66162;2012139093974.9763;"2022-09-14T23:59:59.999Z"
"2022-09-13T00:00:00.000Z";"2022-09-13T23:59:59.999Z";"2022-09-13T12:26:00.000Z";"2022-09-13T21:46:00.000Z";"2783";113951.3737868066;115504.9726534101;104141.3110669042;105357.1657556523;260237711623.3799;1979792265032.1396;"2022-09-13T23:59:59.999Z"
"2022-09-12T00:00:00.000Z";"2022-09-12T23:59:59.999Z";"2022-09-12T14:26:00.000Z";"2022-09-12T03:43:00.000Z";"2783";112068.3467892133;115043.4371149384;111214.6950821483;113939.4061086964;258481741362.9716;2205183033866.4053;"2022-09-12T23:59:59.999Z"
"2022-09-11T00:00:00.000Z";"2022-09-11T23:59:59.999Z";"2022-09-11T23:58:00.000Z";"2022-09-11T06:43:00.000Z";"2783";111598.9744424922;112070.4319441963;110200.8103179776;112063.7560155153;177571415311.87115;2145852124577.4604;"2022-09-11T23:59:59.999Z"
"2022-09-10T00:00:00.000Z";"2022-09-10T23:59:59.999Z";"2022-09-10T23:39:00.000Z";"2022-09-10T14:04:00.000Z";"2783";110044.0447471928;112019.7236393436;108972.3245107669;111609.2488463855;190024508165.5694;2136941700100.398;"2022-09-10T23:59:59.999Z"
"2022-09-09T00:00:00.000Z";"2022-09-09T23:59:59.999Z";"2022-09-09T23:19:00.000Z";"2022-09-09T00:07:00.000Z";"2783";100792.3841041666;110363.6687813682;100700.8765421419;110065.877287293;252758895504.30896;2134750391909.3494;"2022-09-09T23:59:59.999Z"
"2022-09-08T00:00:00.000Z";"2022-09-08T23:59:59.999Z";"2022-09-08T20:17:00.000Z";"2022-09-08T13:13:00.000Z";"2783";101237.4660948605;101237.4660948605;99580.4688891929;100801.2232108342;168963058652.1071;1942210499375.761;"2022-09-08T23:59:59.999Z"
"2022-09-07T00:00:00.000Z";"2022-09-07T23:59:59.999Z";"2022-09-07T21:07:00.000Z";"2022-09-07T03:03:00.000Z";"2783";98873.3484457422;101963.2049278528;97853.6217944934;101245.2648505561;184962913268.59335;1938342267589.4058;"2022-09-07T23:59:59.999Z"
"2022-09-06T00:00:00.000Z";"2022-09-06T23:59:59.999Z";"2022-09-06T01:05:00.000Z";"2022-09-06T20:13:00.000Z";"2783";102168.3144653752;103912.5033966417;98520.419541206;98873.2665219414;223764916278.7051;1859123438899.9624;"2022-09-06T23:59:59.999Z"
"2022-09-05T00:00:00.000Z";"2022-09-05T23:59:59.999Z";"2022-09-05T00:05:00.000Z";"2022-09-05T11:33:00.000Z";"2783";103262.0882020266;103609.1732852446;101627.0279425329;102140.7197339403;148850334491.4243;1959247769996.6628;"2022-09-05T23:59:59.999Z"
